type,alive,sci_name
Statue of a prairie dog ,never,Cynomys ludovicianus
Groundhog golf club cover,never,Marmota monax
Plush yellow-bellied marmot,never,Marmota flaviventris
Plush prairie dog,never,Cynomys ludovicianus
Groundhog puppet,never,Marmota monax
Plush groundhog,never,Marmota monax
Animatronic groundhog,never,Marmota monax
Taxidermied groundhog,no,Marmota monax
Taxidermied groundhogs,no,Marmota monax
Taxidermied yellow-bellied marmot,no,Marmota flaviventris
Groundhog,yes,Marmota monax
Presumed groundhog          ,yes,Marmota monax
Desert tortoise ,yes,Gopherus agassizii
Person in a gopher suit,yes,Homo sapiens
Armadillo      ,yes,Dasypus novemcinctus
Person in a groundhog suit    ,yes,Homo sapiens
Bullfrog,yes,Aquarana catesbeiana
Prairie dog,yes,Cynomys ludovicianus
Opossum,yes,Didelphis virginiana
Pekin duck,yes,Anas platyrhynchos
Largemouth bass          ,yes,Micropterus salmoides
Alligator,yes,Alligator mississippiensis
Vancouver Island marmot,yes,Marmota vancouverensis
Cat,yes,Felis catus
Person in an owl suit,yes,Homo sapiens
Ameraucana chicken,yes,Gallus gallus
Atlantic lobster      ,yes,Homarus americanus
Beaver,yes,Castor canadensis
Person in yellow-bellied marmot suit,yes,Homo sapiens
White tree squirrel,yes,Sciurus carolinensis
Hedgehog,yes,Atelerix albiventris
Gray squirrel,yes,Sciurus carolinensis
